zend_version,Environment
ip2long,Network
long2ip,Network
getenv,Environment
putenv,Environment
getopt,Environment
sys_getloadavg,Performance
microtime,Performance
gettimeofday,Performance
getrusage,Performance
uniqid,Environment
quoted_printable_decode,String
quoted_printable_encode,String
convert_cyr_string,String
get_current_user,Environment
set_time_limit,Performance
header_register_callback,Function
get_cfg_var,Environment
get_magic_quotes_gpc,String
get_magic_quotes_runtime,String
error_log,Logging
error_get_last,Error Handling
error_clear_last,Error Handling
call_user_func,Function
call_user_func_array,Function
forward_static_call,Function
forward_static_call_array,Function
serialize,Serialization
unserialize,Serialization
var_dump,Debug
var_export,Debug
debug_zval_dump,Debug
print_r,Debug
memory_get_usage,Performance
memory_get_peak_usage,Performance
register_shutdown_function,Function
register_tick_function,Function
unregister_tick_function,Function
highlight_file,File Operation
show_source,File Operation
highlight_string,String
php_strip_whitespace,String
ini_get,Environment
ini_get_all,Environment
ini_set,Environment
ini_alter,Environment
ini_restore,Environment
get_include_path,Environment
set_include_path,Environment
restore_include_path,Environment
setcookie,Cookie
setrawcookie,Cookie
header,HTTP Header
header_remove,HTTP Header
headers_sent,HTTP Header
headers_list,HTTP Header
http_response_code,Network
connection_aborted,Network
connection_status,Network
ignore_user_abort,Network
parse_ini_file,Serialization
parse_ini_string,Serialization
is_uploaded_file,File Operation
move_uploaded_file,File Operation
gethostbyaddr,Network
gethostbyname,Network
gethostbynamel,Network
gethostname,Network
dns_check_record,Network
checkdnsrr,Network
dns_get_mx,Network
getmxrr,Network
dns_get_record,Network
intval,Type Conversion
floatval,Type Conversion
doubleval,Type Conversion
strval,Type Conversion
boolval,Type Conversion
gettype,Type Conversion
settype,Type Conversion
is_null,Type Conversion
is_resource,Type Conversion
is_bool,Type Conversion
is_int,Type Conversion
is_float,Type Conversion
is_integer,Type Conversion
is_long,Type Conversion
is_double,Type Conversion
is_real,Type Conversion
is_numeric,Type Conversion
is_string,Type Conversion
is_array,Type Conversion
is_object,Type Conversion
is_scalar,Type Conversion
is_callable,Type Conversion
pclose,File Operation
popen,File Operation
readfile,File Operation
rewind,File Operation
rmdir,File Operation
umask,File Operation
fclose,File Operation
feof,File Operation
fgetc,File Operation
fgets,File Operation
fgetss,File Operation
fread,File Operation
fopen,File Operation
fpassthru,File Operation
ftruncate,File Operation
fstat,File Operation
fseek,File Operation
ftell,File Operation
fflush,File Operation
fwrite,File Operation
fputs,File Operation
mkdir,File Operation
rename,File Operation
copy,File Operation
tempnam,File Operation
tmpfile,File Operation
file,File Operation
file_get_contents,File Operation
file_put_contents,File Operation
stream_select,Stream
stream_context_create,Stream
stream_context_set_params,Stream
stream_context_get_params,Stream
stream_context_set_option,Stream
